Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID,batter_id,avg_protection_score,games_x,total_pa,avg_batting_order,batter,avg_ondeck_protection,avg_preceding_protection,games_y,total_pitches,Team_Abbr,park_factor,wOBA_park_adj,heart_pct,avg_pitcher_fip_minus,avg_pitcher_fip,unique_pitchers_faced,ondeck_adj,preceding_adj,protection_adj,park_adj,pitcher_adj,pitch_quality_adj,wOBA_true_talent,total_context_adj
Corey Seager,TEX,123,533,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,0.364663478286787,0.3908093085655799,141.93696475653223,-5.232432544231415,20.343401841284805,6.94588303565979,4.642943140123882,Corey Seager,13624,608369,608369,0.3201183811074843,123,533,4.943714821763603,608369,0.328183477890816,0.30652958492344434,78,1197,TEX,98.6534059047699,0.36964104274189635,0.11120615911035073,99.6937234746502,3.8014718111392587,156,-0.0004763347578838617,-0.0025562201137829146,-0.0030325548716667763,-0.004977564455109329,0.00030627652534980144,0.0008458124908051236,0.3679980634673738,-0.0074705833613207834
Jurickson Profar,SDP,158,668,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,0.365296050431334,0.3664177068267498,138.92728947203236,-0.7629592474550009,30.332137434188127,-10.619479179382324,4.342124775454071,Jurickson Profar,10815,595777,595777,0.3273658964382876,158,671,4.84053651266766,595777,0.32783643570462523,0.3302601035241426,91,1522,SDP,95.90458273887634,0.3808953023923181,0.10092348284960422,100.09601057142646,3.816811623968788,169,-0.0005110389765029367,-0.00018316825371308965,-0.0006942072302160263,-0.015599251960984106,-9.601057142646142e-05,-0.0006965889483068532,0.3770484871835499,-0.016894037568080524
Corbin Carroll,ARI,158,684,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.3248603077011837,0.329689624927662,107.07697861964972,11.086577944457533,16.8750677085523,2.2997801303863525,4.3418203663781965,Corbin Carroll,25878,682998,682998,0.3636426701562056,155,684,4.875730994152047,682998,0.3556186122286788,0.35177416480893486,88,1460,ARI,100.64197778701782,0.3227880799288988,0.08972602739726028,100.18118038836326,3.820059277351174,184,0.0022671786759024203,0.001968237874766138,0.004235416550668558,0.0020722277722848848,-0.00018118038836325922,-0.0023762072661584433,0.3217503292144997,0.004112617445158259
Mookie Betts,LAD,116,516,19,75,75,16,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,0.3709689515573969,0.3629713448864675,139.57664027743849,0.6120042651891708,25.032243234556702,-0.6782671213150024,4.296694964745157,Mookie Betts,13611,605141,605141,0.4050382811472597,114,506,4.974308300395257,605141,0.4239760214444718,0.33074269127359324,70,1309,LAD,99.1439938545227,0.37417188589530903,0.0985485103132162,100.01926588308262,3.8138852334275826,155,0.009102919597481718,-0.00013490947876802496,0.008968010118713694,-0.0032029343379121333,-1.926588308262467e-05,-0.0010528348287650563,0.3626911082341268,0.004731506835119128
Marcus Semien,TEX,159,718,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.3058828076337302,0.319682053061722,100.58944061998208,1.4903829023241997,1.9746334411112956,15.71020221710205,4.284310179199466,Marcus Semien,12533,543760,543760,0.3519600622205194,159,718,4.704735376044568,543760,0.35739567893059665,0.3023761299907814,89,1428,TEX,98.6534059047699,0.3100580307678366,0.10112359550561797,99.52718146383945,3.7951213134609523,186,0.0024448853460942058,-0.0029715656070492093,-0.0005266802609550036,-0.004175223134106398,0.0004728185361605455,-0.0006665720499047893,0.313629099437448,-0.005841293981126737
Rafael Devers,BOS,138,601,28,87,83,3,0.111480865,0.244592346,0.243809524,0.323033707,0.272380952,0.354409317,0.516190476,0.3640278328013379,0.3657234909188034,135.77750816682595,-0.8942356556653976,23.70888344039181,-2.5807816982269287,4.239408009451712,Rafael Devers,17350,646240,646240,0.2860401698821027,138,601,5.05324459234609,646240,0.33077407984076745,0.3378283759630733,79,1409,BOS,104.24087047576904,0.3492179517878803,0.09811046511627906,99.66372631256026,3.8003279741741554,183,-0.00021727456288871407,0.0005736589901799816,0.00035638442729126754,0.014809881013457593,0.0003362736874397427,-0.001118541608305626,0.34836215237477774,0.013711450145003494
Dansby Swanson,CHC,149,593,16,82,66,19,0.091062394,0.242833052,0.147940075,0.299734748,0.241573033,0.311973018,0.389513108,0.3065694088459821,0.3231652728581832,97.4903604858174,4.4247100949287415,2.6450899163455643,18.35696172714233,4.216355570823021,Dansby Swanson,18314,621020,621020,0.340636393602582,148,596,4.969798657718121,621020,0.3322089937476301,0.3103851411099424,81,1260,CHC,97.8569507598877,0.31328322256659485,0.12430278884462151,100.50025879166368,3.832226217389263,170,-7.37831722024518e-05,-0.002170664495133107,-0.002244447667335559,-0.006713813720612749,-0.0005002587916636827,0.002810306950945741,0.31407280202626564,-0.005647695645338884
Steven Kwan,CLE,122,540,14,83,44,12,0.098148148,0.094444444,0.133333334,0.303614457,0.291666666,0.368029739,0.425,0.3494486094185854,0.336855523205158,131.00928721131478,0.1757170334458351,19.33552494608666,3.291461944580078,4.185394017757066,Steven Kwan,24610,680757,680757,0.3185913722734464,122,543,4.716390423572744,680757,0.3044858162766937,0.33090512917113807,63,1116,CLE,98.87371063232422,0.3534292454321444,0.12645739910313902,99.90972867169278,3.8097084145983096,137,-0.002846100919296091,-0.00011866568901354181,-0.002964766608309633,-0.003980636013558969,9.027132830722451e-05,0.003133498489723368,0.35109311437521085,-0.003902175460452458
Alex Bregman,HOU,145,634,26,79,75,3,0.06940063,0.135646687,0.192771085,0.264270613,0.259896729,0.315457413,0.452667814,0.3307042115295856,0.3253763416145421,117.20282126136706,-2.32157251983881,10.157851530299428,9.07112717628479,4.156236627614604,Alex Bregman,17678,608324,608324,0.3598257639340169,147,645,4.84031007751938,608324,0.35070536151450576,0.3529678350170309,87,1461,HOU,99.48140382766724,0.3324281713017121,0.09582477754962354,100.68989284235218,3.8394572493238637,175,0.001775853604485117,0.0020876048955757397,0.0038634585000608566,-0.001723959772126471,-0.0006898928423521795,-0.0014613947433039544,0.3294800012164195,0.0013679968269826107
Jazz Chisholm Jr.,- - -,147,621,24,74,73,40,0.085346215,0.244766505,0.179715302,0.30927835,0.256227758,0.323671497,0.43594306,0.3272974470799619,0.3168021708435655,110.69860007689752,6.157852970063686,13.7728309773903,4.282210767269135,4.003075362705912,Jazz Chisholm Jr.,20454,665862,665862,0.2925693575691016,147,621,5.020933977455717,665862,0.3033397343027495,0.31899380850561115,88,1530,,100.0,0.3272974470799619,0.10631229235880399,99.96964195091586,3.8119929981622622,189,-0.0029607091166905077,-0.0013097977555662334,-0.004270506872256741,0.0,3.0358049084142637e-05,0.00011173247807311284,0.33141532955498343,-0.0041891324432677705
